关键词,简介,详解
齐普夫分布,词频分布模型,"""词频f=C/r^β，揭示词频和词排名之间的关系，存在'长尾'特征"""
Heaps分布,词汇量模型,"""词汇量V=K×t^β，揭示词汇量随文本长度变化的规律"""
停用词去除,"文本预处理""去除无实际意义的常用词""，",
网页去重,Web检索技术包括Shingle去重和Simhash去重等方法，,
PageRank,"网页排序算法""通过页面链接关系计算重要性的随机游走算法""，",
个性化PageRank,改进排序算法,根据用户喜好推荐不同内容
HITS算法,网页权威性分析,包含Hub页面和Authority页面的分析
查全率(Recall),检索评价指标R=|A∩R|/|R|，,
查准率(Precision),检索评价指标P=|A∩R|/|A|，,
PR曲线,综合评价指标查准率-查全率曲线，,
词汇表,索引项集合,K={k1
文档频率,词项统计量,ni表示包含词ki的文档数
逆文档频率,全局权重,idfi=log(n/ni)
局部权值,词频标准化,fij=freqij/max tfj
Shingle去重,网页去重方法基于文本片段特征计算相似度，,
Simhash去重,网页去重方法局部敏感哈希算法，,
链接流行度,网页重要性指标通过入链数量衡量页面重要性，,
入度,链接分析指标指向网页的链接数量，,
出度,链接分析指标网页指向外部的链接数量，,
权威页面,高质量内容页面,
目录页面,链接集合页面,
I操作,HITS算法步骤,
O操作,HITS算法步骤,
收录范围,检索评价指标系统覆盖的信息范围，,
响应时间,性能指标系统查询响应速度，,
用户负荷,易用性指标用户使用系统所需努力，,
输出方式,结果呈现形式检索结果的展示格式，,
基页,HITS算法基础HITS算法初始检索结果集合，,
随机游走,PageRank基础等概率访问网页节点的算法，,
词频,词项统计量freqij表示词ki在文档dj中出现的次数，,
最大词频,归一化因子max tfj表示文档dj中所有词出现次数的最大值，,
数据组织,数据管理过程,"""按照一定的方式和规则对数据进行归并、存储、处理的过程"""
数据预处理,"数据清洗转换""进行数据异常处理、数据清洗等操作""，",
数据容器,存储系统数据库等数据存储载体，,
传统数据库,关系型数据库20世纪70年代主要数据组织方式，,
数据中台,企业数据服务平台2020年前后出现的数据架构，,
面向主题,数据仓库特征按业务主题组织数据，,
集成性,数据仓库特征多源数据整合处理，,
时变性,数据仓库特征包含历史时间维度数据，,
不可更新性,数据仓库特征数据只读不修改，,
操作型系统,事务处理系统支持日常业务操作，,
信息型系统,分析处理系统支持决策分析，,
ETL流程,"数据抽取转换""抽取(Extract)、转换(Transform)、加载(Load)""，",
数据集市,部门数据仓库面向特定主题的小型数据仓库，,
独立数据集市,自主建设集市不依赖中央数据仓库，,
依赖数据集市,中央派生集市从数据仓库派生，,
逻辑数据集市,虚拟数据集市逻辑非物理分离，,
操作数据存储,实时数据区,支持操作型和分析型处理的混合数据存储
企业数据仓库,中央数据仓库全企业级数据存储，,
数据湖,原始数据存储以原生格式存储各类数据，,
结构化数据,规范格式数据关系型数据库数据，,
半结构化数据,非完全结构化数据JSON/XML等格式，,
非结构化数据,无固定格式数据文本/图像/视频等，,
初始数据池,原始存储区,数据湖中存储原始数据的区域
模拟数据池,半结构化区,存储处理半结构化数据
应用程序数据池,应用数据区本质是数据仓库，,
文本数据池,非结构化区,存储处理文本数据
归档数据池,冷数据区存储低频访问数据，,
数据缩减,数据压缩技术包括去重/采样/压缩，,
数据去重,重复数据处理识别删除重复记录，,
数据采样,数据抽样减少数据量保持统计特性，,
数据压缩,减少存储空间降低存储成本，,
字段匹配法,去重算法比较字段相似度，,
编辑距离法,相似度算法,计算字符串转换最小操作数
N-Gram算法,文本处理技术基于连续字符序列分析，,
数据区域体系,"分层存储架构""包含初始/黄金/敏感期/工作区域""，",
初始区域,原始数据区存储未处理原始数据，,
黄金区域,标准数据区存储清洗转换后标准数据，,
敏感期区域,合规数据区存储需特殊管理数据，,
工作区域,加工数据区供业务使用的处理数据，,
Hudi框架,数据湖技术Hadoop增删改查框架，,
时间轴,Hudi机制记录数据变更历史，,
文件管理,Hudi组件管理数据文件版本，,
表类型,Hudi分类包括COW和MOR类型，,
查询类型,Hudi功能快照/增量/读优化查询，,
向量数据库,向量存储系统专为高维向量设计，,
向量维度,特征数量向量的特征空间维度，,
特征表示,向量编码原始数据到向量转换，,
相似性搜索,查找相似向量数据，,
KD树,空间索引多维数据的二叉树索引，,
局部敏感哈希,近似搜索保持局部相似性的哈希，,
HNSW,图索引分层导航小世界图索引，,
欧几里得距离,相似度量L2范数距离计算，,
余弦相似度,相似度量向量夹角余弦值，,
Jaccard系数,相似度量集合相似度比率，,
Milvus,向量数据库开源大规模向量搜索，,
Pinecone,云向量库SaaS化向量数据库，,
Weaviate,语义引擎支持知识图谱的向量库，,
Qdrant,搜索引擎高性能向量检索系统，,
VectorDB,向量平台深度学习专用向量库，,
Faiss,向量库Facebook开源的相似搜索库,
快照查询,时点查询查询特定时间数据,
增量查询,变更查询查询两个时点间变化,
读优化查询,高效查询列存优化查询方式,
布尔表达式,过滤条件逻辑条件表达式,
标量过滤,值过滤基于标量值的过滤,
分布式架构,集群部署多节点水平扩展,
API接口,访问接口应用程序编程接口,
实时查询,低延迟毫秒级响应查询,
智能缓存,加速技术减少重复计算,
并行处理,性能优化多线程/多机处理,
数据转换,格式转换源格式到目标格式转换,
记录级别功能,数据处理选择/连接/聚合等,
字段级别功能,数据转换格式/类型转换等,
分层结构,HNSW特性多层级图结构,
小世界网络,图特性节点间短路径特性,
哈希函数,LSH核心决定哈希效果的关键,
中位数划分,KD树构建选择中位数作为分割点,
递归划分,KD树方法逐层递归构建树,
近似最近邻,相似搜索非精确但高效的搜索,
精确搜索,完全匹配,00%准确的搜索
向量距离,相似程度向量间距离度量,
向量索引,加速结构优化向量搜索的数据结构,
向量聚类,数据分组相似向量聚合,
标量数据,传统数据非向量的常规数据,
向量化处理,特征提取数据转为向量表示,
语义搜索,意义搜索基于含义而非字面匹配,
多模态数据,多种类型文本/图像/视频等混合,
知识图谱,语义网络实体关系的图形化表示,
实体关联,关系挖掘发现实体间联系,
高维数据挖掘,处理高维数据技术解决高维数据中的维度灾难等问题，,
MNIST数据集,手写数字数据集,60000个训练样本和10000个测试样本的28×28像素手写数字图片
维度灾难,高维问题现象高维数据导致计算复杂度增加和可视化困难，,
数据降维,维度缩减技术降低数据维度同时保留有效信息，,
数据分类,监督学习技术根据样本属性分配类别标签，,
数据聚类,无监督分组,将数据划分为相似性高的簇
主成分分析,线性降维方法,通过正交变换将数据投影到低维空间
奇异值分解,矩阵分解技术,将矩阵分解为三个矩阵的乘积实现降维
线性判别分析,有监督降维,最大化类间距离同时最小化类内距离
局部线性嵌入,非线性降维,保持局部邻域关系的降维方法
等距特征映射,流形学习,保持测地距离的非线性降维
自编码器,神经网络降维通过编码-解码结构学习低维表示，优点：重构过程简单、可学习数据的有效表示且无需标注数据，缺点：具有不可解释性，可能过拟合,
变分自编码器,生成式降维学习隐变量概率分布的自编码器，优点：能显式地构建样本的概率分布、具有生成新样本的能力，缺点：训练复杂度高、性能对超参数敏感、生成质量依赖模型设计,
重构误差,自编码器指标,衡量重建数据与原始数据的差异
KL散度,分布差异度量,变分自编码器中正则化项
朴素贝叶斯,概率分类器基于贝叶斯定理的特征条件独立分类器，优点：时空开销小，可处理多分类任务，对缺失数据不太敏感，结果可解释，缺点：决策存在错误率，对输入数据的表达形式很敏感,
条件独立性,朴素假设,给定类别下特征相互独立
支持向量机,最大间隔分类寻找最优分离超平面的二分类模型，优点：全局最优值，泛化能力强，算法简单且鲁棒，缺点：样本数量大时，存储和计算的开销较大,
分离超平面,决策边界,比数据空间低一维的分类边界
核函数,非线性映射,将数据映射到高维空间处理非线性问题
k-均值算法,划分聚类通过迭代优化簇中心的聚类方法，优点：简单易懂、算法效率高、在很多实际应用中表现都良好，具备较好的收敛性，缺点：对初始中心敏感，需指定簇数、对噪声和离群点敏感,
层次聚类,树形聚类自底向上或自顶向下的层次化聚类，,
密度聚类,基于密度发现任意形状簇的聚类方法，,
网格聚类,基于划分将数据空间划分为网格单元的聚类，,
谱聚类,图论聚类基于图拉普拉斯矩阵特征分解的聚类，基于样本间的相似性构造图，对图的拉普拉斯矩阵进行特征分解，在分解得到的特征上使用k-均值算法完成聚类，目标：子图内各节点间有较高的边权重和，各子图之间具有较低的边权重和理论推导后得到问题是NP难问题，只能使用特征向量去近似求解，优势：能处理高维数据及非凸形状的簇，在复杂数据上比k-均值更好的聚类效果，劣势：依赖于所构建的相似性图，特征值分解不易扩展到大规模数据上，需用户指定聚类的簇数目k,
CLIQUE算法,子空间聚类基于网格和密度的子空间聚类方法，优点：能处理高维数据，能自动确定簇的数量，也易于解释，缺点：对参数敏感，计算复杂度高，高维度诅咒,
稠密单元,高密度区域网格聚类中数据密集的单元，,
目标函数,聚类评价如k-均值中的误差平方和，,
欧氏距离,相似性度量L2范数距离计算，,
闵可夫斯基距离,广义距离,包括欧氏和曼哈顿距离
曼哈顿距离,城市街区距离,L1范数距离计算
监督学习,有标签学习,从标注数据中学习模型
无监督学习,无标签学习,从无标注数据中发现模式
生成模型,数据生成,学习数据分布并生成新样本
判别模型,边界学习,直接学习决策边界
MapReduce,分布式计算,大数据处理的编程模型
分布式聚类,并行处理,分布式环境下的聚类算法
深度学习聚类,神经网络聚类,利用深度特征表示的聚类
隐变量,潜在变量观测数据背后的隐含因素，,
概率分布,统计描述,描述随机变量的可能取值
特征分解,矩阵分解,将矩阵分解为特征值和特征向量
NP难问题,计算复杂性,不存在多项式时间解法的问题
过拟合,模型问题,模型过度适应训练数据
泛化能力,模型适应性,模型在新数据上的表现
鲁棒性,抗干扰能力,模型对噪声和异常值的抵抗能力
超参数,预设参数,模型训练前设置的参数
时间复杂度,计算效率,算法执行时间随规模增长的关系
空间复杂度,内存需求,算法所需内存随规模增长的关系
核技巧,非线性处理,通过核函数隐式映射到高维空间
流形学习,非线性降维,学习高维数据的低维流形结构
拉普拉斯矩阵,图表示,图的度矩阵减邻接矩阵
特征向量,矩阵特征,矩阵变换中方向不变的向量
稠密子图,密集连接,图中连接密集的子图
剪枝策略,优化方法减少计算量的策略，,
网格单元,空间划分,将数据空间划分为规则网格
相似性图,关系表示,表示数据点相似关系的图
重构损失,重建误差,生成数据与原始数据的差异
编码器,特征提取,将输入映射到隐表示的神经网络
解码器,数据重建,将隐表示重建为原始数据的网络
正则化项,约束条件,防止模型过拟合的约束
生成样本,新数据创建,根据学习分布生成新数据
手写识别,分类应用,MNIST数据集上的数字识别
用户分群,聚类应用如电商平台的用户分组，,
共享单车,空间聚类,停放站点的聚集区域识别
图像视频分析,"""以图像或视频作为输入，通过计算机视觉技术构建模型提取特征完成特定功能""",
目标检测,物体定位识别,"""利用矩形边界框确定目标位置大小，识别种类并给出置信度"""
图像分割,区域划分,"""根据特征将图像划分为若干互不相交的相似区域"""
视频目标跟踪,连续帧追踪,"""对视频中目标在后续帧中进行持续的跟踪定位"""
卷积神经网络,"特征提取模型""包含输入层、卷积层、池化层、全连接层等的层级结构""，",
卷积层,"特征提取""卷积核参数与像素值乘积求和加偏置得到特征图""，",
池化层,"特征降维""通过最大池化或平均池化对特征图下采样""，",
全连接层,"特征映射""将高维特征图映射为低维数据""，",
YOLO算法,"实时检测""基于单个CNN直接预测检测框和分类置信度""，",
图像缩放,输入预处理,"""将图像长宽像素调整为固定值448×448"""
网格划分,检测基础,"""将图像划分为S×S个网格(S=7)"""
检测框,预测边界框,"""每个网格设置B个检测框(B=2)"""
非极大值抑制,结果筛选,"""保留最高置信度检测框，移除高IoU重叠框"""
IoU,重叠度量,"""检测框交集与并集的比值(阈值0.5)"""
Mask R-CNN,实例分割,"""CNN提取特征+RPN筛选RoI+FCN预测掩膜"""
RPN,区域提议网络,"""生成锚框并输出前景概率和精调参数"""
RoI对齐,特征对齐,"""将RoI与原特征图对齐并统一维度大小"""
FCN,"全卷积网络""端到端网络包含卷积和转置卷积操作""，",
ResNet101,"特征提取器""基于CNN的101层深度残差网络""，",
锚框,"预设框""为每个像素预设3个不同尺度的候选框""，",
Siamese FC,"孪生网络""使用孪生结构进行相似度比较的跟踪算法""，",
模板图像,参考帧,"""视频第一帧127×127×3的目标图像"""
查询图像,搜索区域,"""后续帧255×255×3的搜索区域"""
互相关计算,相似度矩阵,"""以φ(Z)为核与φ(X)卷积得到响应图"""
置信度,预测可信度,"""检测框包含目标的概率分数"""
边界框回归,位置精调,"""对检测框位置进行微调的回归任务"""
特征图,"卷积输出""卷积层提取的多通道特征表示""，",
转置卷积,"上采样操作""将低维特征映射回高维空间""，",
掩膜预测,"像素分类""对每个RoI输出二进制分割掩膜""，",
正负样本,"训练数据""前景(正)和背景(负)样本比例""，",
损失函数,优化目标,"""包含分类、回归和分割的多任务损失"""
前向传播,"预测过程""输入数据通过网络的推理计算""，",
反向传播,"参数更新""根据损失梯度调整网络权重""，",
特征提取,"表示学习""通过卷积层自动学习图像特征""，",
参数共享,"卷积特性""卷积核在不同位置共享参数""，",
局部连接,"稀疏连接""卷积层神经元只连接输入局部区域""，",
下采样,"分辨率降低""通过池化减少特征图尺寸""，",
上采样,"分辨率增加""通过转置卷积增大特征图尺寸""，",
二阶段算法,"检测方法""首先生成提议再分类回归(如R-CNN)""，",
一阶段算法,"检测方法""直接预测检测框(如YOLO、SSD)""，",
NMS,"后处理""非极大值抑制去除冗余检测框""，",
准确率,"评估指标""正确预测占全部预测的比例""，",
实时性,"性能要求""算法处理速度满足实时应用""，",
过拟合,"模型问题""模型过度适应训练数据而泛化差""，",
数据增强,"正则化""通过变换扩充训练数据多样性""，",
批量归一化,"加速训练""对每层输入进行标准化处理""，",
Dropout,"正则化""随机丢弃部分神经元防止过拟合""，",
学习率,"优化参数""控制参数更新步长的超参数""，",
迁移学习,"模型复用""利用预训练模型加速新任务训练""，",
硬负样本挖掘,"样本平衡""重点训练难以分类的负样本""，",
多任务学习,"联合训练""同时优化多个相关任务提升性能""，",
模型微调,"参数调整""在预训练模型基础上进行小规模训练""，",
特征金字塔,"多尺度""提取不同层次的特征表示""，",
锚框匹配,"标签分配""将锚框与真实框进行对应""，",
RoI池化,"特征统一""将不同大小RoI调整为固定尺寸""，",
边界框编码,"坐标转换""将真实框编码为偏移量形式""，",
语义分割,"像素分类""为每个像素分配语义类别标签""，",
实例分割,"对象区分""区分不同实例的像素级分割""，",
全景分割,"统一任务""同时完成语义和实例分割""，",
光流估计,"运动分析""计算视频帧间像素运动矢量""，",
目标重识别,"跨镜追踪""在不同摄像头中识别同一目标""，",
多目标跟踪,"多对象""同时跟踪视频中的多个目标""，",
姿态估计,"关键点检测""检测人体或物体的关键点位置""，",
行为识别,"动作分类""识别视频中人物的行为动作""，",
文本数据,以文本形式表示的数据,
文本数据分析,对文本建模提取特征挖掘知识,
语言模型,对语言中的词语进行建模,通过统计或神经网络捕捉语法结构与语义关系
Word2Vec,词向量生成模型,通过上下文预测学习词嵌入表示词语语义
CBOW,上下文预测中心词,最大化上下文条件下预测当前词概率
Skip-gram,中心词预测上下文,最大化当前词条件下预测上下文词概率
BERT,预训练语言模型,使用双向Transformer对文本进行建模提升多任务表现
Transformer,自注意力架构模型,用于建模序列依赖的神经网络结构
多头注意力,并行多注意力机制,增强模型对不同语义特征的捕捉能力
位置嵌入,加入位置信息的编码方式,通过正弦和余弦函数为序列提供位置信息
情感分析,识别文本情绪倾向,
篇章级情感分析,分析整段文本的情感,
句子级情感分析,分析单句情绪倾向,
属性级情感分析,分析特定属性的情绪倾向,
基于情感词典方法,通过词典中情感词判断情绪,
基于深度学习方法,用神经网络自动识别情感,
机器翻译,将一种语言转换为另一种语言,
基于LSTM的翻译,使用循环网络编码解码实现翻译,通过LSTM记忆结构处理语言序列信息
基于BERT的翻译,利用BERT模型实现翻译任务,通过注意力机制建模上下文提高翻译准确度
渐进蒸馏,教师学生模型联合训练策略,用性能强的教师模型引导学生模型学习以提升效果
图数据分析,对图结构数据进行建模与分析,
图神经网络,GNN,用于图数据建模与分析的神经网络，通过聚合邻居信息学习节点表示
节点分类,图节点的分类任务,基于已标记节点对未标记节点进行分类，属于有监督学习任务
链接预测,预测图中节点间关系,预测图中节点之间是否存在边，常用于社交网络等领域
社区发现,图中潜在社区的检测,通过分析图结构挖掘具有高连接密度的节点集群
图卷积神经网络(GCN),图神经网络的卷积版本,通过邻居节点信息聚合与更新节点特征
图注意力网络(GAT),图神经网络的注意力版本,通过自注意力机制聚合节点信息，自适应地调整权重
消息传播神经网络(MPNN),GNN的一种类型,通过消息传递机制聚合节点信息进行图分析
图网络(GN),图神经网络的归纳总结提供图神经网络的一般化结构，,
节点级分类任务,针对节点进行分类的任务,常见任务包括社交网络中的用户分类
边级分类任务,针对边进行分类的任务,常见任务包括预测社交网络中的潜在关系
图级任务,对整个图进行分析的任务例如社区发现、图分类等，,
AUC,曲线下面积,评估分类模型性能反映其整体预测能力，
模块度,衡量社区发现的质量,衡量网络划分的模块化，较高值表示更好的社区划分
归一化互信息(NMI),评价聚类结果与真实标签的一致性,反映社区划分的精度
信念传播,一种图节点分类方法通过信息传播过程更新节点标签，,
迭代分类,一种基于图传播的分类方法通过迭代更新节点类别标签来进行分类，,
关系分类,基于图的关系分类方法分析图中节点之间的关系并进行分类，,
图分割,传统社区发现方法之一,将图划分为多个子图，每个子图代表一个社区
层次聚类,通过层次结构划分节点,根据节点相似性逐步合并成社区
图卷积层,GCN中的重要组成部分,用于聚合邻居节点信息来更新节点特征
解码器,链接预测模型的组件通过节点特征预测边的存在与否，,
编码器,链接预测模型的组件对节点特征进行处理以预测潜在链接，,
Dropout层,神经网络中的正则化技术,用于防止过拟合，通过随机丢弃部分神经元
知识图谱,一种用图结构描述实体及其关系的技术方法，支持智能问答、大数据分析等应用,
知识存储困难,数据规模达ZB级别且多源异构带来的知识存储挑战,
知识表示困难,复杂关联和多源异构导致的知识建模难题,
三元组,由头实体、关系和尾实体组成的基本知识表示单元,
命名实体识别,从文本中识别具有特定意义的实体如人名、地名、机构名等,
关系抽取,在识别实体基础上进一步提取实体间语义关系的任务,
实体关系联合抽取,同时完成实体识别和关系抽取的整合任务,
BERT-BiLSTM-CRF,结合BERT预训练、双向LSTM和条件随机场的序列标注模型,
BIO标注,以B-、I-、O前缀标记实体开始、内部和外部位置的标注方案,
BMES标注,用B/M/E/S分别标记实体开始、中间、结束和单字实体的标注方案,
BIOES标注,扩展BIO增加了E(结束)和S(单字)的实体标注方案,
远程监督,利用知识库自动标注文本关系的弱监督方法,
参数共享,联合模型中不同子任务共享底层参数的训练策略,
序列标注,将文本处理为字符级别分类任务的建模方法,
知识图谱嵌入,将实体和关系映射到低维向量空间的表示学习技术,
TransE模型,"通过""头实体+关系≈尾实体""的平移假设进行嵌入的距离模型",
TransH模型,将实体投影到关系超平面改进TransE的嵌入模型,
TransR模型,为不同关系构建不同投影空间的进阶平移模型,
RESCAL模型,通过三维张量分解学习实体和关系的双线性模型,
知识图谱推理,基于已有知识推断新知识的逻辑推理过程,
演绎推理,从一般到特殊的逻辑推理方法如Datalog规则,
归纳推理,从特殊到一般的规则学习推理方法,
AMIE算法,通过扩展规则原子和剪枝策略挖掘Horn规则的算法,
神经张量网络,通过张量运算建模实体间复杂非线性关系的神经网络,
图神经网络,专门处理图结构数据并聚合邻域信息的神经网络架构,
R-GCN,考虑不同关系类型的图卷积网络推理模型,
头覆盖度,规则前提部分在知识库中匹配的实例比例,
最小支持度,规则在知识库中最低出现频率阈值,
最小置信度,规则推理结论最低准确率阈值,
悬挂原子,规则中引入新变量的扩展操作,
实例化原子,规则中引入具体实体的扩展操作,
闭合原子,规则中连接两个已有变量的扩展操作,
评分函数,评估三元组合理性的数学模型,
自环连接,图网络中保留节点自身信息的特殊连接,
注意力机制,动态分配不同特征权重的神经网络模块,
Softmax分类器,输出概率分布的多类别分类器,
Word2Vec,通过上下文预测学习词向量的经典模型,
BiLSTM,双向长短期记忆网络,能捕捉序列双向依赖的循环神经网络
LSTM,长短期记忆网络,通过门控机制解决长程依赖的RNN变体
CRF,条件随机场,考虑标签间转移概率的序列标注模型
监督学习,使用标注数据训练模型的机器学习范式,
弱监督学习,利用不完整或噪声标注数据的学习方法,
特征表示,将原始数据转换为机器学习可处理的形式,
向量空间,用多维向量表示对象的数学空间,
语义关联,基于含义而非表面特征的数据联系,
图结构,用节点和边表示实体关系的非线形数据结构,
实体消歧,区分同名实体的知识融合任务,
知识融合,整合多源知识的质量控制过程,
属性补全,预测实体缺失属性的知识增强任务,
规则挖掘,从数据中自动发现逻辑模式的方法,
路径推理,基于多跳路径的复合关系推理方法,
链接预测,预测实体间潜在关系的推理任务,
知识补全,发现知识图谱中缺失事实的任务,
表示学习,自动学习数据分布式表示的机器学习方法,
神经网络,模仿生物神经网络的机器学习模型,
图卷积,在图结构上推广的卷积神经网络操作,
注意力层,计算特征重要性权重的网络层,
编码器-解码器,先将输入编码再解码输出的架构模式,
预训练模型,在大规模数据上预先训练的通用模型,
微调,在预训练模型基础上进行针对性调整,
分布式表示,将对象表示为稠密向量的编码方式,
语义相似度,基于含义而非字面的相似性度量,
知识验证,判断知识三元组正确性的任务,
知识更新,动态维护知识图谱新鲜度的过程,
多跳推理,需要多个推理步骤的复杂推理任务,
可解释AI,提供决策过程解释的人工智能方法,
智能问答,基于知识自动回答自然语言问题的系统,
推荐系统,基于用户偏好和知识推荐物品的系统,
大数据分析,从海量知识中发现模式和洞见的技术,
贝叶斯网,一种用有向无环图表示变量间概率依赖关系的概率图模型,
概率推理,基于概率论处理不确定性问题的方法包括精确和近似推理,
不确定性,现实世界中因信息不完整导致的知识表达局限,
条件概率表,记录节点在其父节点不同取值组合下的条件概率分布,
有向无环图,由节点和有向边组成且无循环路径的图结构,
参数学习,基于样本数据估计贝叶斯网中各节点条件概率参数的过程,
最大似然估计,通过最大化观测数据出现概率来估计模型参数的方法,
结构学习,从数据中自动发现最优网络拓扑结构的机器学习任务,
BIC评分,平衡模型拟合优度和复杂度的结构评价标准,
爬山算法,通过局部搜索逐步优化网络结构的启发式方法,
精确推理,计算查询变量后验概率的准确值的方法,
变量消元法,通过逐步消元简化联合概率计算的精确推理算法,
近似推理,在有限时间内获得近似概率结果的推理方法,
Gibbs采样,基于马尔科夫链蒙特卡洛的随机近似推理方法,
马尔科夫毯,节点在给定其马尔科夫毯时独立于其他节点的集合,
条件独立性,变量在给定某些其他变量时的概率独立性,
联合概率分布,所有变量组合的完整概率分布表示,
边缘概率,通过求和消元其他变量得到的单个变量概率分布,
后验概率,在给定证据条件下查询变量的更新概率,
证据变量,已知取值的观察变量集合,
查询变量,需要计算概率的目标变量集合,
概率图模型,结合图论和概率论的不确定性建模框架,
马尔科夫网,使用无向图表示变量相关性的概率图模型,
条件随机场,判别式的无向图模型，常用于序列标注,
医疗诊断,贝叶斯网在疾病诊断和预测中的典型应用,
故障检测,利用贝叶斯网识别系统异常的应用场景,
金融分析,应用概率推理进行风险评估和预测的领域,
推荐系统,基于用户行为和概率模型进行个性化推荐的系统,
领域知识,专家提供的关于变量关系的先验信息,
网络结构,贝叶斯网中节点和有向边的拓扑排列,
局部修改,通过加边、减边或反转边调整网络结构的操作,
过拟合,模型过度匹配训练数据而泛化能力下降的现象,
惩罚项,在评分函数中控制模型复杂度的正则化项,
似然函数,描述参数生成观测数据可能性的函数,
参数估计,从数据中学习模型参数值的统计过程,
条件概率,在给定其他变量取值时某事件发生的概率,
采样方法,通过随机生成样本近似计算概率的推理技术,
马尔科夫链,状态转移只依赖前一个状态的随机过程,
蒙特卡洛,基于随机采样进行数值计算的方法,
精确计算,通过解析方法获得准确概率值的推理方式,
近似计算,通过牺牲精度换取效率的概率估计方法,
变量顺序,消元算法中处理变量的先后次序,
消元操作,在联合概率中求和消除某个变量的过程,
势函数,在消元过程中存储中间结果的临时函数,
初始样本,与证据一致的Gibbs采样起始点,
转移概率,马尔科夫链中状态间转换的条件概率,
平稳分布,马尔科夫链收敛后的状态概率分布,
独立采样,每个样本生成不受前序样本影响的采样方式,
相关采样,新样本依赖于前一样本的序列采样方法,
诊断推理,从结果反推原因的逆向概率推理,
预测推理,从原因推导结果的顺向概率推理,
模型复杂度,衡量模型参数数量和结构复杂性的指标,
拟合优度,模型对观测数据匹配程度的度量,
